Data Set,Animal_type,Live_cells_0,Live_cells_3,Live_cells_10,Live_cells_17,Live_cells_24,Live_cells_31,CD19pos_B220pos_0,CD19pos_B220pos_3,CD19pos_B220pos_10,CD19pos_B220pos_17,CD19pos_B220pos_24,CD19pos_B220pos_31,CD19pos_0,CD19pos_3,CD19pos_10,CD19pos_17,CD19pos_24,CD19pos_31,CD19pos_B220pos_MHCIIpos_0,CD19pos_B220pos_MHCIIpos_3,CD19pos_B220pos_MHCIIpos_10,CD19pos_B220pos_MHCIIpos_17,CD19pos_B220pos_MHCIIpos_24,CD19pos_B220pos_MHCIIpos_31,CD11cpos_0,CD11cpos_3,CD11cpos_10,CD11cpos_17,CD11cpos_24,CD11cpos_31,CD11bpos_0,CD11bpos_3,CD11bpos_10,CD11bpos_17,CD11bpos_24,CD11bpos_31,mMDSCs_0,mMDSCs_3,mMDSCs_10,mMDSCs_17,mMDSCs_24,mMDSCs_31,gMDSCs_0,gMDSCs_3,gMDSCs_10,gMDSCs_17,gMDSCs_24,gMDSCs_31,intMDSCs_0,intMDSCs_3,intMDSCs_10,intMDSCs_17,intMDSCs_24,intMDSCs_31,mMDSCs_MHCIIpos_0,mMDSCs_MHCIIpos_3,mMDSCs_MHCIIpos_10,mMDSCs_MHCIIpos_17,mMDSCs_MHCIIpos_24,mMDSCs_MHCIIpos_31,gMDSCs_MHCIIpos_0,gMDSCs_MHCIIpos_3,gMDSCs_MHCIIpos_10,gMDSCs_MHCIIpos_17,gMDSCs_MHCIIpos_24,gMDSCs_MHCIIpos_31,intMDSCs_MHCIIpos_0,intMDSCs_MHCIIpos_3,intMDSCs_MHCIIpos_10,intMDSCs_MHCIIpos_17,intMDSCs_MHCIIpos_24,intMDSCs_MHCIIpos_31
M PLT2 male 1 (1)-3,PLT2_male,40434,39944,63947,68036,28999,,13405,14466,22648,23220,9036,,15683,17648,30552,28571,12323,,13180,14237,22189,22460,8794,,931,767,1779,1533,588,,4392,8418,16089,16847,6415,,755,674,677,1984,504,,2493,6355,12799,12328,5267,,742,629,1046,1086,250,,60,41,153,63,23,,8,43,21,23,2,,103,34,136,98,38,
M PLT2 male 2 (2)-4,PLT2_male,10690,64329,60872,88043,52511,,3141,21230,20805,25057,14643,,3465,25673,27563,31245,18695,,3087,20695,20398,24196,14232,,264,1363,1799,1881,1213,,1225,15988,16332,30875,18025,,83,1219,418,2745,2123,,867,12840,13369,24622,13934,,148,957,945,1397,767,,6,82,94,88,107,,3,51,22,32,17,,16,69,116,164,105,
M PLT2 male 3 (3)-5,PLT2_male,50253,81525,95537,107267,65220,,19194,32249,39796,36920,20107,,19779,37882,50058,46146,26752,,18875,31574,39048,35856,19607,,1325,1559,1671,2552,1260,,8745,16657,22364,25269,16195,,1039,1469,597,4492,1950,,5875,13408,18890,17080,12354,,1153,927,1418,1811,868,,68,136,102,202,100,,9,50,34,42,8,,112,127,138,166,80,
M PLT2 male 4 (4)-6,PLT2_male,62764,54437,77330,81688,56794,,14987,16349,25968,23345,17857,,15272,19570,33883,28957,21982,,14703,15835,25377,22578,17315,,1156,757,1576,1768,1056,,7120,10203,14493,20866,11053,,791,958,563,2864,1803,,4497,7494,11475,14412,7213,,1117,1056,1074,1481,898,,40,62,139,119,129,,21,24,41,19,13,,100,82,133,162,86,
M PLT2 male 5 (11)-7,PLT2_male,28944,2776,,,,,7386,500,,,,,7502,593,,,,,7210,493,,,,,960,64,,,,,4773,596,,,,,823,109,,,,,2733,384,,,,,603,49,,,,,41,4,,,,,11,2,,,,,54,2,,,,
M Pound male2 WT (6)-9,WT_male,31226,25499,38838,54238,9446,,5544,5266,9335,12000,2859,,5668,6950,11833,15657,3209,,5402,5100,9070,11541,2795,,734,581,1042,1133,376,,3616,5980,9279,11095,1974,,233,625,278,1251,404,,2788,4201,7403,7574,1145,,257,414,542,784,161,,24,53,65,74,48,,5,17,21,23,1,,33,23,77,65,22,
M Pound male4 WT (8)-15,WT_male,12652,21705,30184,33829,28976,,3339,4567,6381,4520,6031,,3412,6227,9324,6733,7919,,3273,4467,6175,4391,5845,,541,424,979,1191,631,,4483,4115,10156,17635,11035,,202,1081,488,2231,1847,,3038,1730,7977,13575,7777,,523,450,651,642,520,,19,33,131,107,108,,6,12,30,26,10,,39,19,122,98,89,
M Pound male 3 fat (7)-10,Pound_male,49249,5286,32709,81245,61988,,7060,1170,8368,10705,8173,,7528,1362,12627,17372,13213,,6863,1048,8109,10302,7881,,3049,68,642,2054,1129,,11867,1899,7947,37151,32687,,1777,337,290,9477,4300,,7814,1429,5746,22343,26150,,1259,48,713,2128,941,,55,7,58,261,66,,16,8,17,63,30,,67,9,39,144,76,
M pound male5 fat (9),Pound_male,,117104,68686,72263,53768,,,28946,5588,4920,7492,,,36801,10619,9905,11693,,,27730,5406,4710,7271,,,1896,844,1885,1775,,,31325,32895,39590,23463,,,6950,218,6257,3685,,,18432,29621,29097,17254,,,2617,859,2100,1078,,,93,16,92,57,,,95,83,64,20,,,126,21,118,52,
M Pound male6 fat (10)-17,Pound_male,10581,,,,,,1802,,,,,,2278,,,,,,1747,,,,,,713,,,,,,4166,,,,,,578,,,,,,3115,,,,,,243,,,,,,13,,,,,,1,,,,,,15,,,,,
